Name,Facebook,Twitter,Wikipedia
Katy Perry,katyperry,katyperry,Katy_Perry
Justin Bieber,JustinBieber,justinbieber,Justin_Bieber
Barack Obama,barackobama,BarackObama,Barack_Obama
Taylor Swift,TaylorSwift,taylorswift13,Taylor_Swift
Rihanna,rihanna,rihanna,Rihanna
YouTube,youtube,YouTube,YouTube
Ellen DeGneres (The Ellen Show),ellentv,TheEllenShow,Ellen_DeGeneres
Lady Gaga,ladygaga,ladygaga,Lady_Gaga
Twitter,TwitterInc,Twitter,Twitter
Justin Timberlake,justintimberlake,jtimberlake,Justin_Timberlake
Britney Spears,britneyspears,britneyspears,Britney_Spears
Cristiano Ronaldo,Cristiano,Cristiano,Cristiano_Ronaldo
Kim Kardashian,KimKardashian,KimKardashian,Kim_Kardashian
CNN Breaking News,cnn,cnnbrk,CNN
Selena Gomez,Selena,selenagomez,Selena_Gomez
Jimmy Fallon,JimmyFallon,jimmyfallon,Jimmy_Fallon
Shakira,shakira,shakira,Shakira
Demi Lovato,DemiLovato,ddlovato,Demi_Lovato
Jennifer Lopez,jenniferlopez,JLo,Jennifer_Lopez
Instagram,InstagramEnglish,instagram,Instagram
Oprah Winfrey,oprahwinfrey,Oprah,Oprah_Winfrey
New York Times,nytimes,nytimes,The_New_York_Times
LeBron James,LeBron,KingJames,LeBron_James
Drake,Drake,Drake,Drake_(entertainer)
Bill Gates,BillGates,BillGates,Bill_Gates
Kevin Hart,hartkevin,KevinHart4real,Kevin_Hart
Miley Cyrus,MileyCyrus,MileyCyrus,Miley_Cyrus
SportsCenter,SportsCenter,SportsCenter,SportsCenter
One Direction,onedirectionmusic,onedirection,One_Direction
ESPN,ESPN,espn,ESPN
Harry Styles,HarryStyles,Harry_Styles,One_Direction
Lil Wayne,LilWayne,LilTunechi,Lil_Wayne
Pink,pink,Pink,Pink_(singer)
Wiz Khalifa,wizkhalifa,wizkhalifa,Wiz_Khalifa
Niall Horan,Niallofficial,NiallOfficial,One_Direction
Bruno Mars,brunomars,BrunoMars,Bruno_Mars
Donald J. Trump,DonaldTrump,realDonaldTrump,Donald_Trump
Neymar,neymarjr,neymarjr,Neymar
Adele,adele,Adele,Adele_(singer)
Kanye West,TheOfficialKanyeWest,kanyewest,Kanye_West
Ricardo Kakà,Kaka,KAKA,Kaká
Amitabh Bachchan,AmitabhBachchan,SrBachchan,Amitabh_Bachchan
